step,total_pe
0,2115119384.098333
1000,2115287255.838771
2000,2115828035.371839
3000,2116652172.427229
4000,2117860577.199924
5000,2119394423.479275
6000,2121300398.502056
7000,2123582010.032329
8000,2126241624.768995
9000,2129286559.136262
10000,2132673146.293590
11000,2136440918.297313
12000,2140680513.493022
13000,2145277532.858624
14000,2150316587.020983
15000,2155768785.100176
16000,2161659003.565966
17000,2168029946.158104
18000,2174798103.617929
19000,2182080389.909270
20000,2189855581.607657
21000,2198154547.926966
22000,2206960466.168281
23000,2216292188.683944
24000,2226165572.762819
25000,2236614489.468610